         17004346 function calls (16945508 primitive calls) in 13.105 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    34651    0.025    0.000    0.026    0.000 {built-in method builtins.sorted}
    12288    0.025    0.000    0.041    0.000 mesh.py:482(_check_vertices_input)
    40960    0.024    0.000    0.378    0.000 mesh.py:240(<genexpr>)
    34183    0.024    0.000    0.024    0.000 {method 'transpose' of 'numpy.ndarray' objects}
1872/1775    0.023    0.000    0.159    0.000 {built-in method builtins.__build_class__}
      611    0.021    0.000    0.021    0.000 {method 'read' of '_io.FileIO' objects}
    24472    0.021    0.000    0.064    0.000 ray.py:22(__init__)
      643    0.021    0.000    0.034    0.000 inspect.py:2117(_signature_from_function)
    12288    0.020    0.000    1.287    0.000 face.py:314(triangulated_mesh2d)
    23680    0.020    0.000    0.122    0.000 _2d.py:22(__init__)
    24576    0.020    0.000    0.041    0.000 _mesh.py:90(area)
    68396    0.019    0.000    0.019    0.000 {built-in method _operator.index}
    12288    0.019    0.000    1.552    0.000 face.py:440(is_clockwise)
      420    0.018    0.000    0.018    0.000 {built-in method builtins.compile}
    52396    0.018    0.000    0.018    0.000 line.py:226(_u_in)
    56960    0.017    0.000    0.017    0.000 face.py:296(plane)
    52457    0.017    0.000    0.017    0.000 {built-in method builtins.abs}
    22848    0.016    0.000    0.058    0.000 _asarray.py:16(asarray)
    11392    0.015    0.000    1.006    0.000 <__array_function__ internals>:2(cross)
    34238    0.015    0.000    0.015    0.000 {method 'insert' of 'list' objects}
    46464    0.014    0.000    0.014    0.000 _1d.py:47(p)
    46464    0.014    0.000    0.014    0.000 _1d.py:52(v)
    27598    0.014    0.000    0.014    0.000 {method 'pop' of 'list' objects}
    12288    0.013    0.000    0.020    0.000 _1d.py:23(__init__)
  579/220    0.012    0.000    0.040    0.000 sre_parse.py:469(_parse)
    34183    0.012    0.000    0.012    0.000 numeric.py:1403(<listcomp>)
    41459    0.012    0.000    0.012    0.000 {method 'startswith' of 'str' objects}
    34275    0.012    0.000    0.012    0.000 {built-in method builtins.iter}
     1108    0.011    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      845    0.011    0.000    0.011    0.000 {method 'sub' of 're.Pattern' objects}
   106/70    0.011    0.000    0.083    0.001 {built-in method _imp.exec_dynamic}
    36864    0.011    0.000    0.011    0.000 plane.py:108(n)
    34183    0.011    0.000    0.011    0.000 numeric.py:1336(_moveaxis_dispatcher)
    34176    0.010    0.000    0.010    0.000 pointvector.py:229(__len__)
    12288    0.010    0.000    0.301    0.000 plane.py:285(intersect_line_ray)
    12288    0.009    0.000    0.013    0.000 face.py:404(normal)
    29380    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
    18612    0.009    0.000    0.009    0.000 {built-in method builtins.getattr}
    12288    0.009    0.000    0.012    0.000 _2d.py:89(__len__)
    22142    0.009    0.000    0.009    0.000 {built-in method builtins.min}
    11405    0.008    0.000    0.008    0.000 {built-in method numpy.empty}
        1    0.008    0.008    0.008    0.008 {built-in method _posixsubprocess.fork_exec}
    24576    0.008    0.000    0.008    0.000 _mesh.py:49(faces)
     5825    0.008    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      501    0.008    0.000    0.008    0.000 {method 'findall' of 're.Pattern' objects}
    12040    0.007    0.000    0.008    0.000 {built-in method builtins.hasattr}
 1103/211    0.007    0.000    0.019    0.000 sre_compile.py:71(_compile)
     5825    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
    11392    0.007    0.000    0.007    0.000 {built-in method numpy.promote_types}
11205/11201    0.006    0.000    0.008    0.000 {method 'join' of 'str' objects}
      611    0.006    0.000    0.175    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      500    0.006    0.000    0.031    0.000 textwrap.py:414(dedent)
      915    0.006    0.000    0.010    0.000 functools.py:37(update_wrapper)
      757    0.006    0.000    0.087    0.000 <frozen importlib._bootstrap>:882(_find_spec)
